SN Ref (see previous sheet)],Indirect_Driver,Direct_Driver,Nature,NCP,NCP Category,Trend,TrendCount,Quote
36,Institutions and Governance,Land Use Change,Forest,NRG,Material,Positive,1,"A tourism master plan with facilitation for CF handover (12 CFs covering 867 ha), demarcation of the Panchase forest, plantation and nursery management, promotion of non-timber forest products (NTFPs), installation of improved cooking stoves (ICS) and solar home systems, trail improvements, initiation of offseasonal vegetable farming, beekeeping and the plantation of coffee was developed by Nepal Tourism Board and the Global Environmental Facility (GEF) Small Grants Programme (UNDP [United Nations Development Programme] Nepal"
36,Institutions and Governance,Land Use Change,Farmland,FOD,Material,Positive,1,"A tourism master plan with facilitation for CF handover (12 CFs covering 867 ha), demarcation of the Panchase forest, plantation and nursery management, promotion of non-timber forest products (NTFPs), installation of improved cooking stoves (ICS) and solar home systems, trail improvements, initiation of offseasonal vegetable farming, beekeeping and the plantation of coffee was developed by Nepal Tourism Board and the Global Environmental Facility (GEF) Small Grants Programme (UNDP [United Nations Development Programme] Nepal"
36,Institutions and Governance,Land Use Change,Forest,MAT,Material,Positive,1,"A tourism master plan with facilitation for CF handover (12 CFs covering 867 ha), demarcation of the Panchase forest, plantation and nursery management, promotion of non-timber forest products (NTFPs), installation of improved cooking stoves (ICS) and solar home systems, trail improvements, initiation of offseasonal vegetable farming, beekeeping and the plantation of coffee was developed by Nepal Tourism Board and the Global Environmental Facility (GEF) Small Grants Programme (UNDP [United Nations Development Programme] Nepal"
37,Demographic and Sociocultural,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,1,"Young farmers have fewer elderly mentors, and agricultural livelihoods are increasingly discouraged in favor of new forms of service employment.

This finding resonates with other studies that suggest collecting wild edible plants is becoming increasingly rare, and the younger generation appears to be losing or even disgarding the traditional knowledge and use of wild edible plants."
37,Institutions and Governance,Directly to NCP,Directly to NCP,HAB,Regulating,Positive,1,"FGD participants have expressed that wildlife and their habitat conservation is promoted
for ecotourism enhancement. Some part of the tourism revenue is spent on environmental conservation activities. Most respondents (57.78%) of the household survey felt an increase in numbers of wildlife as compared to the past"
38,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,1,"Due to increase in forest cover and greenery in the surronding. NGOs have conducted awareness-raising programs and greenery enhancement programs, as well as tree plantation events"
38,Economic and Technological,Land Use Change,Forest,HAB,Regulating,Positive,1,"According to KII participants, the users of LPG are increasing gradually which is minimizing the dependency of Kumal communities towards firewood. If the use of firewood could be decreased significantly, it will reduce the dependency of local people towards the forest."
39,Demographic and Sociocultural,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,0.33,"the traditional subsistence economy in the far-western Nepal Himalaya has experienced a substantial change in recent decades while certain kinds of traditional knowledge in the research area began to decline in recent decades, including that around human-plant relationships"
39,Economic and Technological,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,0.33,"Because of out-migration, other economic opportunities and political conflicts in highlands"
39,Institutions and Governance,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,0.33,"Because of out-migration, other economic opportunities and political conflicts in highlands"
40,Demographic and Sociocultural,Directly to NCP,Directly to NCP,MED,Material,Positive,1,"We found that the knowledge of plant use seems to follow a pattern
according to available useful plants as well as the cultural significance of the landscape. However, the latter prevails."
41,Demographic and Sociocultural,Land Use Change,Forest,HAB,Regulating,Negative,1,"both ethnic groups stated that mammals, reptiles, amphibians, and resident and migratory
birds had decreased, which corroborates the trend reported by IUCN (1998)."
41,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"Habitat destruction, as a result of cutting trees and shrubs from the lake complex, reduced the habitat for larger animals. Large mammals such as tiger (Panthera tigris), sloth bear (Melursus ursinus), as well as most of the deer species, have not been seen in the area for a couple of years. Local and migratory bird species are also in a declining state"
43,Demographic and Sociocultural,Land Use Change,Forest,MED,Material,Negative,0.5,"Deforestation and the expansion of agricultural lands arising from increased immigrant population pressures, aswell as premature and/or destructive harvesting of medicinal plants for commercial purpose are reportedly the major reasons for the disappearance of medicinal plants in this region."
43,Economic and Technological,Direct Exploitation,Forest,MED,Material,Negative,0.5,"Deforestation and the expansion of agricultural lands arising from increased immigrant population pressures, aswell as premature and/or destructive harvesting of medicinal plants for commercial purpose are reportedly the major reasons for the disappearance of medicinal plants in this region."
43,Economic and Technological,Direct Exploitation,Forest,IDE,Non-Material,Negative,1,"Unhealthy competition among plant collectors, stimulated bymarket forces, could lead to the local extinction of many species. As the plants disappear, people’s knowledge of their useswill also decline"
43,Economic and Technological,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,1,"The interaction with and exposure to outside society, the increasing accessibility of modern health care facilities, and poor recognition of traditional healers have discouraged younger people from using traditional medicine."
44,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,1,Baghmara community forest has undergone rapid ecological succession to a forest from an initially degraded state showing dramatic environmental regeneration
45,Institutions and Governance,Direct Exploitation,Forest,HAB,Regulating,Positive,1,"The participatory wildlife matrix scoring suggested that wild animal populations inside ACA have increased following
conservation intervention."
45,Conflicts,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"However, the Maoist insurgency that has been affectingmany rural areas of Nepal in recent years has fostered lawlessness and is thought to have increased the level of poaching in ACA."
45,Economic and Technological,Land Use Change,Forest,NA,NA,Positive,1,"PRA exercises indicated that the fuelwood collection from the forest had been reduced by half compared to a decade earlier. Various reasons were given for this, namely increased conservation awareness, efficient use of fuelwood through introduced technologies and behavioural changes, use of fire only when needed, collection of only dry and dead wood, planting of fuelwood species on farms and harvesting of wood from private woodlots"
45,Economic and Technological,Direct Exploitation,Forest,MAT,Material,Positive,1,"Collection of two major non-timber forest products, particularly nigalo (Arudinaria spp.) and nettle fibre plants (Girardinia diversifolia) has also decreased. Arudinaria spp., which were widely used for construction of agricultural implements, have been gradually replaced by plastic items. Similarly, imported clothes have replaced nettle fibre products, which were used for weaving traditional clothing"
46,Institutions and Governance,Direct Exploitation,Farmland,MAT,Material,Positive,1,people in both conservation areas have begun to plant firewood and fodder trees on their homesteads to meet their needs. The seedlings for these trees come mostly from the nurseries established and managed by the conservation area projects
46,Demographic and Sociocultural,Direct Exploitation,Others,NA,NA,Positive,1,"Another significant result was the impact of education level in influencing local attitudes in MBCA— respondents with high school degrees and those attending colleges were more likely to hold favorable attitudes toward MBCA. This could partly be attributed to the conservation education programs that MBCA has launched in most high schools to generate environmental awareness as well as interest in the conservation area among students. These programs include classes on environmental subjects, environmental essay writing contests, debates, and quizzes"
49,Demographic and Sociocultural,Direct Exploitation,Forest,NA,NA,Positive,1,"More specifically, educated residents are more likely to be aware that, while an ecotourism project should focus on environmental conservation and economic and socio-cultural development, it also should focus on equitable sharing of resources among residents and their participation in the planning and management of the ecotourism project."
50,Institutions and Governance,Directly to NCP,Directly to NCP,MAT,Material,Negative,1,"The REDD+ mechanism may limit access to forest resources because the concept of REDD+ sets higher value on standing forests than logged forests Limited access to forest resources might suppress forest-dependent peoples' livelihoods, especially poor people."
52,NA,Land Use Change,Forest,NA,NA,Negative,1,"The result showed a slight decrease in the forest, waterbody and snow/ice categories in the datasets from 2000 to 2017. Meanwhile, the area of shrub/grassland, agriculture, bare area and built-up area have increased"
52,NA,Land Use Change,Farmland,NA,NA,Positive,1,"The result showed a slight decrease in the forest, waterbody and snow/ice categories in the datasets from 2000 to 2017. Meanwhile, the area of shrub/grassland, agriculture, bare area and built-up area have increased"
52,NA,Land Use Change,Grassland,NA,NA,Positive,1,"The result showed a slight decrease in the forest, waterbody and snow/ice categories in the datasets from 2000 to 2017. Meanwhile, the area of shrub/grassland, agriculture, bare area and built-up area have increased"
52,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,Climate change is also the driving factor for changes in the LUCC. and our study also shows a decrease in snow/ice class in the entire transboundary KRB by 35%
52,NA,Climate Change,Forest,HAB,Regulating,Negative,0.5,Climate change is also the driving factor for changes in the LUCC. Glacier area has decreased in the KRB by 30% from 1980 to 2010 [68] in the Nepal part and our study also shows a decrease in snow/ice class in the entire transboundary KRB by 35%
52,NA,Land Use Change,Forest,HAB,Regulating,Negative,0.5,"Roads play an important role in the spread of alien species by facilitating dispersal pathways and by providing disturbed sites for percolation from roadsides into the natural adjacent vegetation
In all cases of SN 52, various drivers cause the sperad of invasive plant species, that lead to the decrease in plant diversity"
53,NA,Invasive Alien Species,Forest,HAB,Regulating,Negative,1,"Four IAPs were mentioned to have impacts on biodiversity. The most frequently reported (50% of the total focus group)
impact was the reduction of biodiversity and prevention of forest regeneration.This situation had not only reduced forest regeneration "
53,NA,Invasive Alien Species,Forest,FOD,Material,Negative,1,...but also minimized the supply of forage to wild and domestic animals
54,NA,Land Use Change,Forest,HAB,Regulating,Negative,0.33,These hazards also affect the fertility of the soil and may cause habitat destruction for wild animals to a large extent. 
54,NA,Land Use Change,Forest,HAB,Regulating,Negative,0.33,These hazards also affect the fertility of the soil and may cause habitat destruction for wild animals to a large extent. 
54,NA,Land Use Change,Forest,HAB,Regulating,Negative,0.33,These hazards also affect the fertility of the soil and may cause habitat destruction for wild animals to a large extent. 
54,NA,Land Use Change,Others,HAZ,Regulating,Negative,0.33,Landslides were found in conditions of poor soil structure and poor vegetation resulting in high risk to nearby village
54,NA,Land Use Change,Others,HAZ,Regulating,Negative,0.33,Landslides were found in conditions of poor soil structure and poor vegetation resulting in high risk to nearby village
54,NA,Land Use Change,Others,HAZ,Regulating,Negative,0.33,Landslides were found in conditions of poor soil structure and poor vegetation resulting in high risk to nearby village
55,NA,Land Use Change,Farmland,NA,NA,Negative,1,"Urban areas in the Tarai region experienced significant expansion over the study periods. Built-up area increased by 67.7 sq.km and
100.1 sq.km during 1996–2006 and 2006–2016, respectively. These expansions are closely associated with the sharp declines in the area of cultivated land. Cultivated land area declined by 61.1 sq.km during the first decade and decreased a further 100.1 sq.km in the second decade."
55,Conflicts,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"However, the Maoist insurgency that has been affectingmany rural areas of Nepal in recent years has fostered lawlessness and is thought to have increased the level of poaching in ACA."
56,NA,Land Use Change,Farmland,FOD,Material,Negative,1,Rapidly increasing urban sprawl is a leading cause of the loss of cultivated land and food production and these together with population growth are major threats to long-term sustainability.
56,NA,Land Use Change,Forest,HAB,Regulating,Positive,1,"Overall, there appears to have been loss of Food Production and Carbon Storage but a slight gain in Habitat Quality, albeit only in the Hill and Mountain regions."
56,NA,NA,Forest,CLI,Regulating,Negative,1,"Overall, there appears to have been loss of Food Production and Carbon Storage but a slight gain in Habitat Quality, albeit only in the Hill and Mountain regions."
57,NA,Climate Change,Forest,MAT,Material,Negative,1,Loss of NTFPs
57,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,Drying of wetlands
57,NA,Climate Change,Freshwater,HAB,Regulating,Negative,1,"decrease in aquatic populations, disruptions of low-lying riverine habitats"
57,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,Drying of springs
57,NA,Climate Change,Farmland,FOD,Material,Negative,1,loss of key productions
57,NA,Climate Change,Forest,MED,Material,Negative,1,loss of medicinal plants
58,NA,NA,Forest,NA,NA,Positive,1,"More than 60% of the respondents identified that forest area had
increased over the last 20 years, whilst agriculture and water resources had decreased"
58,NA,NA,Farmland,NA,NA,Negative,1,"More than 60% of the respondents identified that forest area had
increased over the last 20 years, whilst agriculture and water resources had decreased"
58,NA,NA,Freshwater,NA,NA,Negative,1,"More than 60% of the respondents identified that forest area had
increased over the last 20 years, whilst agriculture and water resources had decreased"
59,NA,NA,Forest,NA,NA,Negative,1,"Although forests gained cover in some areas, considerable degradation and deforestation occurred in others, resultin in a net loss of 8740 ha of forests. "
59,NA,Land Use Change,Farmland,NA,NA,Negative,1,This implies that rapid urbanization in the landscape caused not only loss of agricultural lands but also a compounding effect on the intact forests due to feedbacks from food insecurity and agricultural incursions
59,NA,Land Use Change,Forest,NA,NA,Negative,1,This implies that rapid urbanization in the landscape caused not only loss of agricultural lands but also a compounding effect on the intact forests due to feedbacks from food insecurity and agricultural incursions
60,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,1,"The improvement of forest cover has been driven by different factors such as forest acts,
started of community forest and establishment of protected areas in Nepal. The introducing of Community Forest (1970s) and Forest Act (1993) and Forest Regulation (1995) also the fundamentals to improve forest cover over the country"
60,NA,Land Use Change,Farmland,NA,NA,Positive,1,"From the study, it was found that cropland is the predominant land type of the basin. The area under cropland has increased from 31.78% to 32.67% between 1990 and 2015 (Table 5). Mostly, the conversion of forest land into cropland was observed with the minute amount from other land use types"
60,NA,Land Use Change,Grassland,NA,NA,Negative,1,"Grassland has shrunk from 4755.29 km2 to 3253.22 km2 (10.62% to
7.62%) during the study period. In the meantime, the bush/shrub land has expanded by 297.74 km2
(2.68% to 3.35%) over the study area between 1990 and 2015."
60,NA,Land Use Change,Freshwater,NA,NA,Positive,1,"Mostly the rivers and small streams are originated from
the higher Himalayan region. The river/lake and swamp/wetlands have been increasing trend which
increased from 0.99% to 1.22% and 0.19% to 0.59%, respectively between 1990 and 2015"
61,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,1,human disturbance in the form of biomass extraction impacts forest structure by reducing structural diversity through coppicing and felling
61,Institutions and Governance,Direct Exploitation,Forest,NA,NA,Negative,1,"Inside the PFs, the forests close to the Ramche and Dhunche settlements were much more degraded, as evidenced by the number of cut
stumps and lower canopy cover at the lower elevation, nearby settlements"
63,Demographic and Sociocultural,Land Use Change,Forest,NA,NA,Positive,1,"abandoned farm lands have gradually reverted into shrublands
and forests; as a consequence, forest area has increased in the landscape"
63,Demographic and Sociocultural,Land Use Change,Freshwater,WQN,Regulating,Negative,1,"Because of farmland abandonment which could be caused by people leaving farming because it is too uncertain, or because of out-migration
Secondly, the increase in forest cover in the study area could explain the perceived change in water availability, as trees and other woody vegetation typically use a larger proportion of rainfall compared to other land uses, such as agriculture and pasture, thereby reducing the amount of water reaching streams and rivers"
63,NA,Climate Change,Farmland,FOD,Material,Negative,1,"Some respondents reported insect and pest problems in both forest and farmland in the study area. Farmers reported a perceived increase in potato blights, while foresters reported on the dieback of Shorea robusta in the Lowland region."
63,NA,Climate Change,Forest,ORG,Regulating,Negative,1,"Some respondents reported insect and pest problems in both forest and farmland in the study area. Farmers reported a perceived increase in potato blights, while foresters reported on the dieback of Shorea robusta in the Lowland region."
63,NA,Climate Change,Forest,MAT,Material,Negative,1,"The perceived impact of climate change on food production was consistent across regions, while declines in water and forest product availability were more widely attributed to climate change in the Lowland region"
63,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,"The perceived impact of climate change on food production was consistent across regions, while declines in water and forest product availability were more widely attributed to climate change in the Lowland region"
63,NA,Land Use Change,Others,HAZ,Regulating,Negative,1,"For regulating services, an increase in landslides and floods was reported, but again, a regional difference was found with twice as many respondents from the Lowland region perceiving a change in the occurrence of these natural hazards"
63,NA,Invasive Alien Species,Forest,FOD,Material,Negative,1,"Respondents have also observed a decline in fruit trees in the forest, such as Myrica esculenta (Kaphal), Choerospondis axillaris (Lapsi), and Castanopsis indica."
63,NA,Climate Change,Forest,HAB,Regulating,Negative,1,"About half of the respondents, from both the Upland and Lowland regions, identified changes in species composition. Changes were reported as either shifting of species to higher elevations, local extinction of species, increased abundance of species in some locations, and changes in composition of species in the region"
65,Demographic and Sociocultural,Land Use Change,Others,NA,NA,Positive,1,"Households with more educated members and those with younger, male respondents reported higher willingness to pay [for environmental conservation]"
66,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"Overall, our results show that red pandas occupied less than 50% of the study area, and were negatively affected by natural resource extraction currently prevalent in the reserve."
67,Institutions and Governance,Direct Exploitation,Forest,HAB,Regulating,Negative,1,"Although collection of bamboo for commercial purposes is legally prohibited inside Dhorpatan, high dependency of local communities on forest resources for subsistence and poor law enforcement continues to remain a challenge. Local accounts with PA officials confirmed that the demand for these products has been growing over the years and will likely continue to increase"
68,NA,NA,Forest,NA,NA,Negative,1,"locals also expressed concerns with regard to the diminishing quality of the ecosystem services due to the degradation of forests outside the community forests, "
69,Institutions and Governance,Land Use Change,Forest,NA,NA,Positive,1,although community forests had played a significant role in increasing the forest cover in the watershed.
69,Institutions and Governance,Pollution,Freshwater,WQN,Regulating,Positive,1,all 142 downstream interviewees said they were willing to pay for ecosystem services if payment would ensure the quality and longterm supply of ecosystem services.
74,Demographic and Sociocultural,Pollution,Freshwater,WQN,Regulating,Negative,1,"One of the many threats of urban sprawl in Siddharthangar has been the uncontrolled discharge of industrial, domestic and agricultural wastes, into the Danda river which has been gradually worsening health of the river ecosystem."
74,Demographic and Sociocultural,Pollution,Freshwater,HAB,Regulating,Negative,1,"One of the many threats of urban sprawl in Siddharthangar has been the uncontrolled discharge of industrial, domestic and agricultural wastes, into the Danda river which has been gradually worsening health of the river ecosystem."
75,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,1,Our findings of the inverse relation between logging intensity and species diversity is supported by various previous studies.
77,NA,Pollution,Freshwater,WQN,Regulating,Negative,0.33,There is large agreement between the respondents that water quantity and quality decreased the most
77,Demographic and Sociocultural,Land Use Change,Freshwater,WQN,Regulating,Negative,0.33,"Fig. 3A shows how precipitation in the watershed indeed has decreased over the last 3 decades, especially during monsoon and post monsoon, while temperature especially in winter and spring has increased. These findings are consistent with FGD and key informant reports on increased water scarcity, attributed to the increase both in population and land use intensity, "
77,NA,Climate Change,Freshwater,WQN,Regulating,Negative,0.33,...in addition to a perceived and recorded decrease in precipitation
77,Economic and Technological,Pollution,Freshwater,WQL,Regulating,Negative,1,There is large agreement between the respondents that water quantity and quality decreased the most
77,NA,Pollution,Freshwater,SOI,Regulating,Negative,1,"FGDs also detailed that new seeds are more susceptible to both old and new pests and diseases and drought, and that the increased demand has led to increased need of chemical fertilizer and pesticides which in turn affect drinking water quality and contribute to soil degradation. "
77,Demographic and Sociocultural,Directly to NCP,Directly to NCP,FOD,Material,Positive,1,"Seasonal water availability for example impacts crops differently, as different crops have different water demand (Schreier et al., 2006), and many farmers already used this knowledge by substituting wheat with the less water demanding potato (see Table 1, importance of potato)"
78,NA,Climate Change,Freshwater,WQN,Regulating,Negative,1,"People consistently reported a delay in the onset of the monsoon, that the monsoon was more unpredictable, that the dry season was longer and more intense, and that water levels in springs and groundwater sources had dropped."
78,NA,Climate Change,Farmland,ORG,Regulating,Negative,1,"In addition to the changes in climatic conditions, many respondents across the entire study area also reported increasing occurrences of crop pests and disease."
78,NA,Climate Change,Farmland,FOD,Material,Negative,0.25,"New dry periods were being experienced, particularly during the rainy season, which had reduced harvests."
78,NA,Climate Change,Farmland,IDE,Non-Material,Negative,0.33,"The main impact of change perceived by the communities was a significant reduction in outputs of staple and cash crops, mainly due to reduced overall water availability and lack, or inappropriate timing, of precipitation, and increased occurrence of crop pests and diseases, which the communities attributed to changes in weather patterns"
78,NA,Pollution,Farmland,IDE,Non-Material,Negative,0.33,...increased use of fertilizers
78,NA,Land Use Change,Farmland,IDE,Non-Material,Negative,0.33,...and monocropping
78,NA,Pollution,Farmland,FOD,Material,Negative,0.25,...increased use of fertilizers
78,NA,Land Use Change,Farmland,FOD,Material,Negative,0.25,...and monocropping
78,Demographic and Sociocultural,Land Use Change,Farmland,FOD,Material,Negative,0.25,"Other reasons for the decreasing outputs include fragmentation of landholdings, and fallowing of arable land due to a reduction in the agricultural workforce, particularly in migrant households"
78,NA,Direct Exploitation,Freshwater,FOD,Material,Negative,1,Communities living close to rivers reported a drastic reduction in fish stocks due to lowering water levels as well as overfishing.
78,NA,Direct Exploitation,Forest,MAT,Material,Negative,1,The lack of fuelwood and reduction in non-timber forest products across the study area can only be indirectly linked to climate change. The main reason for the reduced availability is overexploitation
79,NA,NA,Forest,MAT,Material,Negative,1,"In general, Figs. 2 and 3 suggest that households face difficulties in accessing water and forest products in the dry season, in particular, and perceive that resources have become scarcer over time."
79,NA,Land Use Change,Freshwater,WQN,Regulating,Negative,0.33,"In general, Figs. 2 and 3 suggest that households face difficulties in accessing water and forest products in the dry season, in particular, and perceive that resources have become scarcer over time."
79,Demographic and Sociocultural,Land Use Change,Freshwater,WQN,Regulating,Negative,0.33,"Households identify rural road construction, population growth and reduced rainfall as major causes of water scarcity."
79,NA,Climate Change,Freshwater,WQN,Regulating,Negative,0.33,"Households identify rural road construction, population growth and reduced rainfall as major causes of water scarcity."
83,NA,Land Use Change,Forest,NA,NA,Negative,1,"The forest area had decreased by about 9% (28,070 ha) in 2009. Shrubland also decreased by 9.3% (from 7223 ha in 1990 to 5760 ha in 2009), . Other major changes were a 22.3% increase in barren areaand a 23.1% decrease in snow/glacier area. There was a major change from forest to cropland (17,475 ha) and for-est to grassland (9845 ha), from grassland to cropland, and fromsnow/glacier to barren land."
83,NA,Land Use Change,Freshwater,NA,NA,Negative,1,23.1% decrease in snow/glacier area
83,NA,Land Use Change,Farmland,NA,NA,Positive,1,"whilecropland increased by 12% (from 187,802 ha in 1990 to 210,189 hain 2009)"
84,NA,Direct Exploitation,Forest,CLI,Regulating,Negative,1,"For example, overexploitation of biomass is limiting the capacity of the KTWR for carbon sequestration, which benefits the global community."
86,Institutions and Governance,Land Use Change,Forest,CLI,Regulating,Positive,1,"forest biomass outside the park increased after livestock were prohibited from grazing there, "
86,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,0.5,"enabling these forests to support a higher density of wild ungulates (i.e., tiger prey)
Second, human exploitation of tigers, such as poaching, has been relatively controlled since the end of the civil war in Nepal in 2006"
86,Institutions and Governance,Land Use Change,Forest,HAB,Regulating,Positive,0.5,"Unique socioeconomic and institutional actors in Chitwan, such as park management intensity, tourism infrastructure, initiatives to include local communities in ecodevelopment, massive efforts to reduce and control poaching, and social tolerance to tigers (19, 42, 43), likely increased the capacity for tigers and people to coexist at fine spatial scales."
87,NA,Land Use Change,Forest,NA,NA,Negative,1,"Agricultural expansion.
lower amount of forest loss in lower elevation zones suggests that forest conservation efforts by the local communities and concerned agencies played important roles in protecting the forestry land use in the watershed. The same could not happen at higher elevations (highland) because of the inability of community-based forest management programmes to cover those
areas and virtually non-existent forest monitoring by the forest department thereby leading to open access conditions of the high altitude forests.
"
87,NA,Land Use Change,Farmland,NA,NA,Positive,1,See above (farmlands replaced forests)
87,NA,Land Use Change,Forest,NA,NA,Positive,1,"Proportionately a lower amount of forest loss occurs in areas of better accessibility, however, this is generally an unexpected trend in natural conditions. Higher concentrations of forest management activities in locations closer to roads might be a reason. Likewise, effective monitoring of the community forests by local user groups could be another reason for improved forest conditions in relatively accessible areas"
87,Economic and Technological,Land Use Change,Forest,NA,NA,Positive,1,"Less deterioration and loss of forest areas were observed in suburban (MMO and MO) economies whereas
high deterioration and loss of forestland were observed in rural areas with a subsistence economy (LMO and RA) in the rest of the watershed"
88,Institutions and Governance,Direct Exploitation,Grassland,FOD,Material,Negative,1,"Some national level professionals claimed that current rangeland management problems stemmed from poor institutional cooperation in the past. Poor linkages among government organizations, NGOs and some universities and research institutes at both the national and district levels appear to further constrain improving rangeland management practices"
88,Institutions and Governance,Direct Exploitation,Grassland,FOD,Material,Negative,1,"farmers’ voices have not been heard or considered by policy-makers in the process of initiating and implementing natural resource policies, especially those related to rangeland management. Similarly, the involvement of local communities in research and development projects promoted by district or central governments is very limited."
89,Demographic and Sociocultural,Directly to NCP,Directly to NCP,MED,Material,Positive,0.5,The main characteristic feature of culturally important landraces is they are few in number but many HHs cultivate them in small areas. Because of their important role in religious and cultural ceremonies many HHs tend to grow them rather than ask for grains from neighbors. These landraces have a fair chance of survival on-farm so long as local culture thrives in the community 
89,Demographic and Sociocultural,Directly to NCP,Directly to NCP,IDE,Non-Material,Positive,1,see above
89,Economic and Technological,Directly to NCP,Directly to NCP,MED,Material,Positive,0.5,"In the present context, we can expect that farmers would be interested in continuing to grow aromatic fine type rice landraces (Jetho Budho, Pahele, Basmati) in the study sites because of favorable market price. On-farm conservation of these landraces would largely depend on market dynamics: demand, supply, and price in local and national markets."
90,Economic and Technological,Directly to NCP,Directly to NCP,IDE,Non-Material,Negative,1,"With the establishment of modern health facilities and markets, the use of insects and their products in local medicine is disappearing. Though knowledge is still available, it is no longer applied."
90,Demographic and Sociocultural,Direct Exploitation,Farmland,NA,NA,Positive,1,"The use of chemical pesticide for field crops is uncommon. It is widely believed that chemical pesticides,being incompatible with traditional means of spiritual pest control, trigger more pests. Thus, up tothe present day, farmers rely more on spiritual means of pest control than on chemical pesticides"
91,NA,Direct Exploitation,Freshwater,WQN,Regulating,Negative,0.5,"Water preferences and subsequent water limits, as experienced through drastic changes to spring outputs or changes to their flow, contest the forms of intense urbanisation seen to feed formal water supply schemes."
91,Demographic and Sociocultural,Land Use Change,Freshwater,WQN,Regulating,Negative,0.5,"Separation between urban planning frameworks and rural development funds conjoin to boundarise divisions between how “upstream” and “downstream” issues are demarcated, where upstream areas are frequently depicted as sites of sources or routes, without any or minimal demand, and are in consequence passively neglected, whereas downstream areas are typically demand-filled, growing, full of potential, developing, lived spaces, and are subsequently assessed, quantified, and catered to as objects of intervention."
92,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,0.5,"Our results revealed that fire and livestock grazing are important pressures for restricting advanced natural regeneration, growth,
and maintenance of structural complexity in Shorea robusta mixed forests."
92,NA,Direct Exploitation,Forest,HAB,Regulating,Negative,0.5,"Our results revealed that fire and livestock grazing are important pressures for restricting advanced natural regeneration, growth,
and maintenance of structural complexity in Shorea robusta mixed forests."
93,Demographic and Sociocultural,Directly to NCP,Directly to NCP,HAB,Regulating,Negative,1,"Bivariate correlations showed that, in line with expectations, Asian Openbill breeding success declined with more human habitation around colonies (Fig. S4). "
96,Demographic and Sociocultural,Land Use Change,Grassland,FOD,Material,Negative,1,"Among the 18 grasslands studied, the 16 located below 3500 masl were encroached by shrubs (Table 2) and these were no longer pure grasslands. The shrub cover of Berberis species constituted between 40 and 80% of the area of the encroached grasslands (Table 2; Figure 4), creating discontinuities in the grazing area.
Herders and local residents have witnessed the complete transformation of grasslands into shrubland and woodland, and reported that 40 years ago the area was either completely devoid of shrubs or they were in very low abundance."
96,NA,Land Use Change,Forest,NA,NA,Positive,0.5,"rapid expansion of infrastructure, especially the road network and access to mains electricity, reduced reliance on firewood that formerly was the major energy source for local people, and a key motivation to join the CFUG"
96,NA,Land Use Change,Forest,NA,NA,Positive,0.5,"rapid expansion of infrastructure, especially the road network and access to mains electricity, reduced reliance on firewood that formerly was the major energy source for local people, and a key motivation to join the CFUG"
97,NA,Land Use Change,Grassland,FOD,Material,Negative,1,"Land cover changes brought about by shrub and tree encroachment have exacerbated the lives of the remaining herders, and the persistence of these shrubs in grasslands may pose a serious threat on the continuation of traditional occupation of herders."
97,Institutions and Governance,Directly to NCP,Directly to NCP,MAT,Material,Negative,1,"Similar to this, community forests were reported to have failed to significantly increase the supply of timber to respond to reconstruction needs following the devastating earthquake in 2015 due to the rigid government policies and regulatory process, constraining the effectiveness of CF at the time of crisis.

The policy process is reported to be centralizedand less participatory wherein the government holds disproportionate power in CF-related decision-making."
100,Demographic and Sociocultural,Direct Exploitation,Forest,NA,NA,Positive,1,We find that baseline poverty levels significantly affect CFM’s ability to curb deforestation. Future efforts should also continue seeking a better understanding of other factors driving variation in CFM impacts both across and within CFUGs.
101,Economic and Technological,Land Use Change,Forest,NA,NA,Positive,1,"From themain IV results (Table 6, Panel B, columns 1 and 2), we find that biogas installations have had a positive and statistically significant impact in the Hill region. A one percentage point increase in biogas users resulted in an approximately 5.4% increase in forest cover change, compared to baseline area (“Hill effect”)."
107,NA,Land Use Change,Forest,NA,NA,Positive,1,"Around CNP, tourism is an important activity which many residents are able to relate to conservation. This implies that local residents are aware that without the park there may not be any tourism and with it any livelihood opportunities.
Higher levels of benefit receipt in communities surrounding CNP correspond with positive attitudes toward park management, and, respondents who perceive tourism benefits have more favorable attitudes than those that perceive no tourism benefits."
