SN Ref,Ecosystem,NCP,NCP_short,SDG,Effect,Quote,Remarks from text,
SN 29,Freshwater,Supporting identities,IDE,NA,Positive,"A temple named Barahi is located in the central part of the eastern side of the lake. Major festivals are celebrated here and help to bring people in from surrounding areas and abroad.
Activities such as Bratabandha (Pabitra thread ceremony) are celebrated throughout the year. Several species of trees are said to be of religious importance in the area, along with the rare White Lotus. Rupa is considered a sacred lake, owing to the story compiled by Anirudra Adhikari of Begna Kaski. (Source: local knowledge).","To the people of Rupa the cultural importance is high, however this perhaps doesn’t
extend outside of the immediate catchment",
SN 30,Agroforest,Energy,NRG,7.1,Positive,"Farm trees contributed substantially to the total supply of fuel, fodder, and, to a lesser extent, timber. in our study area, fodder harvesting in nearby community forests was regulated so that farmers depended more on farm trees for fodder collection",,
SN 30,Agroforest,Food and feed,FOD,2.4,Positive,,"Adaptation to protected areas by farmers was the introduction of trees on farms, that were used to meet fodder demands",
SN 31,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"Our detail situation analysis (Regmi, Gurung 2015) shows that irrigation is understood to benefit the poor people through higher production, higher yields, lower risk of crop failure, year-round farm and also to switch from low-value subsistence production to high-value market-oriented production",,
SN 31,Farmland,Food and feed,FOD,2.1,Positive,"The findings from the survey revealed that out of total sampled household, 100% people of Dhakarjung village and 88% people of Phalyak village are dependent in agriculture respectively for their livelihood",,
SN 31,Others,Physical and psychological experiences,EXP,1.1,Positive,"whereas in the neighbouring villages Kagbeni and Tiri, locals have alternative for their income as business which is either by tourism or trading",,
SN 33,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"The Sardu River is the mainwater source for Dharan, a growing city of approximately
150,000 people. The river drains into a reservoir, managed by the NepalWater Supply Corporation which supplies about 60% of the city’s water demand during the rainy season and 25% of the
demand during the rest of the year. Since the reservoir fills only in the rainy season, NWSC also
uses ground water to meet municipal needs.",,
SN 34,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"Water is now used for irrigation and drinking purpose benefitting
a total of 36 households. Irrigation is managed by the farmers and termed as
farmer managed irrigation system",,
SN 34,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,Water is now used for irrigation and drinking purpose benefitting a total of 36 households. Irrigation is managed by the farmers and termed as farmer managed irrigation system,,
SN 34,Forest,Energy,NRG,7.1,Positive,Only 47.5% of the respondents had access to alternative energy schemes such as biogas whereas the majority still rely on other regular energy sources (kerosene and fuelwood).,,
SN 34,Forest,Supporting identities,IDE,15.1,Positive,"Communities in Kalapani CFUG and other CFUGs have a strong traditional belief in “rakauna” meaning “the need to preserve”. Under “rakauna” communities usually preserve a patch of forest area, used only during religious ceremonies while strictly protected at all other times. Over the years, communities experienced deforestation and decrease in forest quality in forests around the
LBA, while good forest regeneration was seen in lands set aside as “rakauna”.",,
SN 34,Freshwater,Food and feed,FOD,1.1,Positive,"Our result highlights the use of water from conservation ponds in benefitting the community’s agricultural practices (e.g. small-scale irrigation system), thus improving food security and income especially among deprived communities.",Focus on income because SDG 2 has already been addressed. Water availability led to farming of cash crops which could be sold for money,
SN 34,Freshwater,NA,NA,NA,Negative,"Logistical model predicted that food insecure communities are using more water
from the conservation pond while deprived and low-income families showed less
odds towards water use from the conservation pond","More food insecure families are using wetlands than well off families, which shows that this is helping in equality among poor and non-poor households",
SN 35,Farmland,Food and feed,FOD,1.1,Positive,"Assuming that farmers currently participating in the finger millet market could meet such demand, their agricultural revenues corresponds to a 17% increase in total rainfed agricultural income compared to the current situation. Our analysis demonstrates that urban consumers are willing to pay a significant price premiumfor specific consumption attributes of a finger millet niche product.","This means that a niche market for a competetive, traditional crop could not only enhance plant diversity, but also increase the income of farmers",
SN 36,Others,Supporting identities,IDE,NA,Positive,"Both Hindus and Buddhists consider the Panchase mountain peak as a sacred religious site and each year a festival draws pilgrims from a large area. The name of the mountain (Panchase), is derived from its extraordinary location and means ‘five seats of the divine mother’.",,
SN 36,Forest,Food and feed,FOD,2.4,Positive,"As livestock comprises a major part of the Himalayan agro-ecological system, fodder collection is the second most important biomass outtake, especially in dry periods when on-farm fodder is particularly sparse",,
SN 36,Forest,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,"Fibre yielding, edible or medicinal plant species were being collected in the forests for traditional use and/or for commercial trade.",,
SN 36,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Fibre yielding, edible or medicinal plant species were being collected in the forests for traditional use and/or for commercial trade.",,
SN 36,Forest,Food and feed,FOD,2.1,Positive,"Fibre yielding, edible or medicinal plant species were being collected in the forests for traditional use and/or for commercial trade.",,
SN 36,Forest,Food and feed,FOD,1.1,Positive,"Fibre yielding, edible or medicinal plant species were being collected in the forests for traditional use and/or for commercial trade.",,
SN 36,Forest,Supporting identities,IDE,NA,Positive,"Two commonly used fibre plants found above 2000 m altitude were the woody bush Daphne bholua (named chet barua locally), where the bark is used for paper production, and Girardinia diversifolia (named allo locally), a tall perennial herb producing a fine silky fibre for the production of coarse clothing, for example the Gurung’s traditional cloths, and ropes",Some aspects of nature could not fit into the SDG framework,
SN 36,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"The people of Panchase’s general notion was that the deforestation and forest degradation trend of the past has slowed down or reversed, consequently benefiting forest conservation and reducing landslides, as deforestation in steep terrain with high precipitation is known to increase landslide risks","Although this hasn’t been proved in the study, this is a general assumption that was made through site visits",
SN 36,Forest,Energy,NRG,7.1,Positive,"In the absence of alternatives, fuelwood remains the only source for cooking and heating for the
vast majority of the population in the area and, in spite of the various degrees of forest product dependency amongst the respondent households, all of them relied on fuelwood for their daily livelihood.",,
SN 36,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"The forests of Panchase are vital to most of the local farmers who cannot afford to buy chemical
fertilizers. To sustain 1 ha of terraced farmland under the traditional system in the Middle Hills, 1–4 ha of forest is needed (Ives & Messerli 1989). People collected leaf litter frequently to prepare compost manure, as the traditional faming practice is based on the input of organic manure to fertilize the cropped fields and enhance soil quality",,
SN 37,Others,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"Biological material is also collected on moderately sloping land from contour hedgerows
along terraced ridges and intercropped hedgerows. Plants growing in these areas help to soil erosion, conserve soil nutrients, and limit competition with crops for water and sunlight",,
SN 37,Agroforest,Energy,NRG,7.1,Positive,"Fuel wood is typically sourced from trees around homes (in 41% of cases), from community forests and national parks (71%), or bought from traders (19.4%). In 25% of cases, fuel wood comes from two or three sources, but in some cases, material cultivated around homes is sufficient.
Wood is the main source of household energy (97%), with electrical connections and frequent power outages. However, wood is not the only source of energy for these households: biogas (i.e., ox,cow, or human) (70%), liquefied petroleum gas (22%), solar (8%), crop residue (e.g., maize husks (8%)), or kerosene, candles, or battery lamps for lighting are also used.","Agroforests help in providing fuelwood for farmers as well

The example here shows various other sources of energy which can be used to reduce pressure off forests",
SN 37,Others,Food and feed,FOD,2.4,Positive,"Of the 75 plant species collected, 56 are used for medicine, 27 for spiritual or ritual purposes, 25 for food, 20 for timber, 17 for fuel, 16 for fodder, 11 for soil enhancement, and eight for pesticides. Most plants (73.3%) have multiple uses: between two (29.3%) up to six (2.7%) purposes.",,
SN 37,Others,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,,,
SN 37,Others,"Materials, companionship and labor",MAT,7.1,Positive,,,
SN 37,Others,Regulation of detrimental organisms and biological processes,ORG,2.4,Positive,,,
SN 37,Others,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Respondents reported 61 ailments that are treated with medicinal plants, including
gastro-intestinal, dermatological, cardio-vascular, ureno-genital, respiratory, skeleto-muscular, mental disorders,or dental, eye, ear, nose, throat, birthing, or lactation issues",,
SN 37,Others,Supporting identities,IDE,NA,Positive,"Administration of biological material varies both daily and seasonally. For example, on Tuesdays and Thursdays, women practice a ritual that involves grinding and eating the root of Mimosa pudica (Touch-me-not plant) or chew the stem of Calotropis gigantea (Crown flower) to promote their husbands’ wellbeing. Other species are regularly ingested, such as Aegle marmelos (Bengal
quince), the leaves (“beal patra”) and fruit pulp of which are used as an offering to Lord Shiva

Plants are used in symbolic rituals, offerings, religious occasions, marriage ceremonies, fasting, or acts of purification. Various trees considered sacred in Buddhist, Jain, and Hindu traditions are planted along roadsides, public areas, villages, and temples.",Wild plants are an integral part of religion and culture for tharu (indigenous) societies,
SN 37,Agroforest,"Materials, companionship and labor",MAT,9,Positive,"Timber products include both low-grade (e.g., Neolamarckia cadamba (Kadamba)) and hard woods (e.g., Shorea robusta (Sal)), used for constructing housing, livestock sheds, furniture, ladders, stairs, doors, and farm equipment. Eight types of grasses, herbs, and shrubs are similarly used for constructing houses. Around homes, plants are grown for windbreaks (e.g., Dendrocalamus strictus (Bamboo)), fences (e.g., Euphorbia royleana (Cactus spurge)), or shade",,
SN 37,Agroforest,Food and feed,FOD,2.1,Positive,"Twenty-five unique species are used as wild edible plants for food across the study. Vegetables are obtained from some plants, such as Crateva unilocularis (Garlic pear) which is high in iron, Justicia adhatoda (Malabar nut), and Artocarpus heterophyllus (Jackfruit). Others are used for pickle, such as Mentha arvensis (Peppermint), or Terminalia chebula (Yellow myrobalan",,
SN 38,Others,Energy,NRG,7.1,Positive,"According to the household survey, most of the respondents (93.33%) are using firewood
in their houses as shown in Table 3 in addition to electricity and liquefied petroleum gas (LPG).",,
SN 38,Others,Physical and psychological experiences,EXP,NA,Positive,"According to the participants of the FGD, there are very few low caste Dalits other than the indigenous Ghale communities. Low-caste families (2 homestays) are also given an opportunity in homestays and are provided equal opportunities in training and other benefits.",,
SN 38,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"All the participants accepted that the increase in the number of wildlife species, such as monkeys, birds, and other herbivores have destroyed their agricultural products.",,
SN 38,Others,Physical and psychological experiences,EXP,5.5,Positive,"Women’s empowerment is one of the important aspects of homestay tourism as there
are 17 female entrepreneurs registered out of 30 homestays. Females are operating rice mills,
conserving tea gardens, and running microfinance and other cottage industries. They are attending
regular meetings and providing necessary feedback for ecotourism development in Ghalegaun.",,
SN 38,Others,Physical and psychological experiences,EXP,9.3,Positive,,,
SN 38,Others,Physical and psychological experiences,EXP,4.4,Positive,,,
SN 38,Others,Physical and psychological experiences,EXP,4.1,Positive,"According to the participants of FGD, the development of ecotourism has made local people realize the importance of education as educated people are able to enhance homestay facilities. The literacy rate has also increased, and two schools are constructed in Ghalegaun
The increase in ecotourism income aid people in sending their children to high schools and universities in Kathmandu.",,
SN 38,Others,Physical and psychological experiences,EXP,4.3,Positive,,,
SN 38,Others,Supporting identities,IDE,8.9,Positive,"To attract visitors, young people are conserving their culture, promoting rural tourism by establishing the South Asian village tourist museum, and performing cultural dance. For ecotourism promotion, they have organized the Ghalegaun festival for the past nineteen years","Positive feedback loop: Culture promotes ecotourism, ecotourism helps conserve culture",
SN 38,Others,Physical and psychological experiences,EXP,1.1,Positive,"According to the FGD participant, homestay tourism has attracted many visitors and increased the source of income.There is a local cooperative established in the village to collect the savings of people and mobilize as loans for people in need. Most of the surveyed households (73.33%) have observed the new sources of income in Ghalegaun. Their living standard has also changed as they have easy access to health, education, communication, and transportation after the development of ecotourism.",,
SN 40,Others,Food and feed,FOD,1.1,Positive,"Collection of hay (grasses) and edible and medicinal plants is a common strategy to offset these hungry periods. In addition, a cash crop, radish is sliced, dried, and taken to the northern border Taklakot and into Tibet to barter for salt. Some high-value medicinal plants are bartered
to the lowlands and to India in exchange for food and grains","Since our study area is a food deficit [123] and 72% participants had
food deficiency > 6 months year?1, the tradition of wild
plant collection, use, and management was a common
strategy to combat poverty",
SN 40,Others,Food and feed,FOD,2.1,Positive,"While some wild edibles are sold for money, some are used for household consumption",,
SN 40,Forest,Energy,NRG,7.1,Positive,Fuelwood is commonly used for heating and cooking.,,
SN 40,Others,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Because of the remote location, reliance on traditional medicine is associated with wild medicinal
plants and on the harmonious existence of spirit and matter. Many traditional healers worship and pray to plants before collecting them, acknowledging the spiritual powers of the vegetation","For rural areas, medicinal plants are the only sources of remedies for sicknesses. Furthermore, their religious values are reasons why they are protected.",
SN 40,Others,Supporting identities,IDE,NA,Positive,"Because of the remote location, reliance on traditional medicine is associated with wild medicinal
plants and on the harmonious existence of spirit and matter. Many traditional healers worship and pray to plants before collecting them, acknowledging the spiritual powers of the vegetation",,
SN 41,Freshwater,Supporting identities,IDE,NA,Positive,"Ghodaghodi Lake is an important religious place, with a shrine dedicated to the Ghodaghodi deity, where indigenous Tharu people celebrate a traditional festival, Agan Panchami, in December and take a holy bath in the lake.",,
SN 41,Freshwater,Energy,NRG,7.1,Positive,"Fuelwood was found to be the most extracted wetland resource by the local ethnic communities at GLC. Approximately 95% of households collected fuelwood from the lake complex as a source
of cooking energy.",,
SN 41,Freshwater,Food and feed,FOD,2.1,Positive,"In addition, 38% collected fish for food, and singar was another important resource for the indigenous community.",,
SN 41,Freshwater,Food and feed,FOD,2.4,Positive,"In addition, nearly 18% of the households relied on the lake to fulfill their need for livestock fodder.",,
SN 41,Freshwater,Food and feed,FOD,1.1,Positive,"the other 67% of households depended on Ghodaghodi Lake either for their own consumption
or for the sale of such resources to obtain money for food.",Money for food > the article shows money as an intermediatory aspect of food security,
SN 43,Agroforest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"In this study, the ethnomedicinal uses of a total of 110 plant species belonging to 52 families used by the Tharus were recorded (Table 1). These plant species are used to treat about 50 ailments and involve 232 different remedies. Among these 110 species, 41 are trees, 40 are herbs, 17 are shrubs and 11 are climbers. Most species (86) are collected from the wild",,
SN 44,Forest,Food and feed,FOD,2.1,Positive,"The Baghmara residents interviewed have a somewhat lower demand for grazing land, reflecting their lower level of cattle ownership and a higher demand for wild fruits and vegetables, probably reXecting the higher level of poverty",This shows that people living in poverty have much more dependance for food from forest,
SN 44,Forest,"Medicinal, biochemical and genetic resources",MED,1.1,Positive,The DNPWC permit 1375m3 per year of valuable timber or trees valued for their ayurvedic properties to be removed from the forest following the earmarking of dead or diseased standing trees and fallen trees by a park forester. This wood can be sold: at 300 Rs/m3 for timber and 100 Rs/m3 for medicinal purposes (and 100m3 of this can be provided to the community to build temples or other public buildings).,The ES obtained from forests were by the facilitation of community forest,
SN 44,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 44,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 45,Forest,Energy,NRG,7.1,Positive,"Out of 41 households surveyed, the wood from the uttis tree (Alnus nepalensis) was the most abundant in fuelwood stacks (dominating stacks in 77% of the surveyed households).",,
SN 45,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"a majority of the residents inside ACA (73%, n=89) compared to about half outside the
area (57%, n=61) identified the need to control pest wildlife species",raiding of crops due to increased wildlife affected food security,
SN 46,Others,Regulation of detrimental organisms and biological processes,ORG,2.1,Negative,"Local people in both ACA and MBCA suffer from wildlife depredation; 74% and 96% of the respondents in ACA and MBCA, respectively, reported facing some wildlife depredation problems",,
SN 48,Grassland,"Materials, companionship and labor",MAT,9.1,Positive,the grassland provides raw material for walling (both small and large cane) and roo®ng (cane and thatch).,,
SN 48,Grassland,Supporting identities,IDE,NA,Positive,"the grass products also have important cultural functions. For example, they are used in ceremonial lamps, and the ¯ower head of Imperata cylindrica is used as a wick in lamps for temples or shrines. The grass cutting is an extremely important event in the annual calendar; preparations are made by the community in advance, and Tharu people celebrate the Maghi festival at the end of the grass-cutting",,
SN 50,Forest,Energy,NRG,7.1,Positive,"Among the provisioning services, forest products, such as ‘timber’ and ‘wood fuel’, received the greatest numbers of positive scores, even though the concept of REDD+ places a higher value on standing forests than logged forests",,
SN 50,Forest,"Materials, companionship and labor",MAT,9.1,Positive,,,
SN 50,Forest,Physical and psychological experiences,EXP,8.9,Positive,"For the cultural services, ‘aesthetic values’ and ‘recreation and ecotourism’ were viewed positively by >90% of the respondents, a much higher figure than for the other cultural services",,
SN 53,Forest,Energy,NRG,7.2,Positive,"C. odorata, L. camara and A. adenophora were reported as the sources of biomass for compost,
charcoal and bio-briquette. These species were used and sometimes preferred where they were found abundantly and could be collected easily.",,
SN 53,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"C. odorata, L. camara and A. adenophora were reported as the sources of biomass for compost,
charcoal and bio-briquette. These species were used and sometimes preferred where they were found abundantly and could be collected easily.",,
SN 53,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Participants also reported medicinal and culinary uses of some IAPs. The paste of fresh leaves of C. odorata, A. adenophora and A. conyzoides was used to treat cuts and wounds. The root of Amaranthus spinosus was used to treat urinary tract obstruction by local villages",,
SN 53,Forest,Food and feed,FOD,2.1,Positive,the tender shoot of [Amaranthus spinosus] was consumed as a vegetable,,
SN 53,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"Regulating services of some of the IAPs reported by the participants were: control of floods
by Ipomoea carnea ssp. fistulosa, and stabilization of landslides by A. adenophora and I. carnea ssp. fistulosa.",,
SN 55,Others,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"Primarily, the vegetation barrier could break the wind velocity preventing sands from blowing laterally up the slope land. These infrastructures form a network of natural and semi-natural areas, such as existing forests and plantations; they enhance ecosystem health and resilience, minimizing natural disaster risks, including lowering surface water runoff  which reduces the risk of flooding, connecting habitats, and mitigating mountain disaster effects;",,
SN 58,Others,Habitat creation and maintenance,HAB,15.5,Positive,"the upland region’s ecosystem is considered particularly important for its role in biodiversity
conservation, culture, and recreation services,",,
SN 58,Forest,Regulation of climate,CLI,13.2,Positive,"Mapping of major ES show that the protected forest in the upland region has high biodiversity, carbon sequestration and water resource services, respectively…",,
SN 58,Farmland,Food and feed,FOD,2.1,Positive,...whereas the production landscape of the middle and lower regions has significantly higher services for production of food (Figure 9d) and forest products,,
SN 58,Forest,Energy,NRG,7.1,Positive,"Provision of forest products especially timber, firewood, fodder from the forests. Fire wood as a major source of energy",,
SN 58,Forest,"Materials, companionship and labor",MAT,9.1,Positive,"Provision of forest products especially timber, firewood, fodder from the forests",,
SN 58,Forest,Food and feed,FOD,2.4,Positive,"Provision of forest products especially timber, firewood, fodder from the forests",,
SN 58,Forest,Food and feed,FOD,2.1,Positive,"Fruits and vegetable from forest such as wild fruits (lapsi, Kaphal berries), mushrooms, Honey",,
SN 58,Others,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,Drinking and irrigation water,,
SN 58,Others,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Different plant species with medicinal and aromatic values-trees, shrubs and herbs species",,
SN 58,Forest,"Medicinal, biochemical and genetic resources",MED,2.5,Positive,"Different varieties and genes of tree, shrubs and herbs species",,
SN 58,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,Support to farming practices through leaf/litters/organic manure,,
SN 58,Forest,Regulation of climate,CLI,13,Positive,"Amelioration of local climatic condition and improve microclimate. There is no detailed study on these regards, but respondents state that forests in the surrounding landscape have been helping to improve local climate",,
SN 58,Forest,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,"Vegetation on the farm and forest area, supporting on erosion control and prevent from landslide. Due to forest and vegetation, landslides and erosion have decreased especially in the upland area as trees and vegetation act as a buffer against these kind of hazards",,
SN 58,Farmland,Regulation of hazards and extreme events,HAZ,"1.5, 11.5, 13.1",Positive,,,
SN 58,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,Availability of pure water in the streams and water ponds,,
SN 58,Forest,Regulation of freshwater and coastal water quality,WQL,6.1,Positive,"Overall, water sources have been protected by forests. Role of vegetation in the forest in
regulating hydrological flows.",,
SN 58,Others,Regulation of detrimental organisms and biological processes,ORG,3,Positive,Local ecosystem and services could reduce the harmful insect and animal in the landscape,,
SN 58,Forest,Regulation of air quality,AIR,3.9,Positive,"Trees/forests absorbs dust particles and carbon dioxide from the atmosphere, provide fresh air and oxygen",,
SN 58,Forest,Pollination and dispersal of seeds and other propagules,POL,2.1,Positive,Some wild species such as birds and bees play crucial roles in crop pollination of both forest and farm species,,
SN 58,Farmland,Pollination and dispersal of seeds and other propagules,POL,2.1,Positive,,,
SN 58,Others,Supporting identities,IDE,8.9,Positive,"With the publicity of religious values of the sites and temples,  large number of people are visiting the places
Growing awareness of local and indigenous cultural values",,
SN 58,Forest,Physical and psychological experiences,EXP,8.9,Positive,Aesthetic forest is also a source of ecotourism as means of recreation and ecotourism,"Increased number of tourists
Promotion of ecotourism activities such as homestay business",
SN 58,Others,Learning and inspiration,INS,4.7,Positive,"Due to the diverse array of socio-ecological features, it is becoming an educational hub and natural laboratory",,
SN 58,Forest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,"Prevent erosion and help conserve and further support for soil formation. Due to increased forest cover especially in the upland area, decreased soil erosion and thereby enhanced soil formation
process",,
SN 61,Forest,"Formation, protection and decontamination of soils and sediments",SOI,2.4,Positive,"Many people used leaf litter as organic manure for agriculture. Leaf litter is collected for animal
bedding, which ultimately turns into compost manure",,
SN 61,Forest,Energy,NRG,7.1,Positive,"All people used forests for fuelwood. Symplocos ramosissima, Quercus semecarpifolia, Rhododendron arboretum Sm., Pyrus pashia Buch.-Ham. ex D.Don, Lyonia ovalifolia, and Eurya acuminate were preferred as fuelwood in the GFs, while Rhododendron arboreum, Prunus spp. and Alnus nepalensis D.Don were preferred in the PFs",,
SN 61,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,"Others collected medicinal plants and wild edible plants, including ferns and mushrooms.",,
SN 61,Forest,Food and feed,FOD,2.1,Positive,"Others collected medicinal plants and wild edible plants, including ferns and mushrooms.",,
SN 63,Forest,"Regulation of freshwater quantity, location and timing",WQN,6.1,Negative,"Secondly, the increase in forest cover in the study area could explain the perceived change in water availability, as trees and other woody vegetation typically use a larger proportion of rainfall compared to other land uses, such as agriculture and pasture, thereby reducing the amount of water reaching streams and rivers",Increase in forest cover leads to decrease in water availability,
SN 66,Others,Energy,NRG,7.2,Positive,"Major household-level adaptation practices applied were changing resource-use patterns and
gradually shifting livelihoods from existing practices to newer ones more suitable for a changing
environment. Changing practices included, for instance, use of biogas instead of firewood",Nature based solutions for climate change adaptation,
SN 66,Agroforest,Food and feed,FOD,2.1,Positive,"Identification of multipurpose plantations, mainly fodder and fruits tree species, to meet the local requirement of fodder and fruits
 Plantation and management of tree species on both private and public land.","  Reduced pressure of fodder on forest and strengthened forest conservation
  Easy access to fodder resources without spending much time and energy
  Enhanced livestock products, and thereby varieties of agro-goods and services
  Promotion of agroforestry practices.",
SN 66,Agroforest,Food and feed,FOD,2.4,Positive,,,
SN 66,Others,Energy,NRG,3.9,Positive,"Similarly, use of alternative energy such as biogas was also found effective. It exerted less pressure on forests, reduced workloads required to collect firewood, and reduced health hazards by reducing exposure to smoke resulting from traditional cooking stoves.",,
SN 67,Forest,Habitat creation and maintenance,HAB,15.5,Positive,The probability of detecting red pandas increased with bamboo availability (?bam = 0.36 ± SE 0.19) and decreased with bamboo extraction (?bex = -0.92±SE0.28).,which means that more bamboo correlated with more red pandas,
SN 69,Agroforest,Food and feed,FOD,2.4,Positive,"The agricultural area in the study was not purely an agricultural system; it also had some remnant trees at the edge of a terrace, which provided fodder and played a role in erosion control. ",,
SN 69,Agroforest,"Formation, protection and decontamination of soils and sediments",SOI,15.3,Positive,,,
SN 69,Grassland,Food and feed,FOD,2.4,Positive,"Grasslands were open areas near the forests or agricultural lands on which the local communities grazed their livestock. Grassland received only one high score, for livestock grazing.",,
SN 69,Agroforest,Food and feed,FOD,2.1,Positive,"Agricultural and agroforestry areas had the second highest score (61), and the highest overall score in its capacity to produce food and horticultural crops, including vegetables",,
SN 69,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,6.1,Positive,"All of the respondents were familiar with the role of the watershed in providing water and forest products, as those services and goods were vital for their subsistence livelihoods.",,
SN 69,Forest,Energy,NRG,7.1,Positive,"Forest products could be critical for the communities who used fuel wood for cooking, collected fodder for livestock, and gathered herbs for medicinal purpose, but less important for the
communities who were less dependent on forest products for their livelihoods.",,
SN 69,Forest,Food and feed,FOD,2.4,Positive,,,
SN 69,Forest,"Medicinal, biochemical and genetic resources",MED,3,Positive,,,
SN 69,Forest,Habitat creation and maintenance,HAB,15.5,Positive,"Due to the protection of forest in the NW, a greater number of birds and wildife was visible now. Locals perceived that touristic activities such as bird watching and wildlife viewing, which provides livelihood benefits, would not be possible if the forest had not been protected.",,
SN 69,Forest,Physical and psychological experiences,EXP,8.9,Positive,,Protected area helped in this,
SN 70,Freshwater,Food and feed,FOD,2.1,Positive,"Nearly one-fifth of the households have consumed fish, varying from 16.2% in
distant area to 43.4% in nearby area. Fish are the main goods consumed from the wetlands,
contributing to more than 95% of the total value of the wetland goods",,
SN 70,Freshwater,Physical and psychological experiences,EXP,8.9,Positive,"about 150 to 200 international and about 10,000 to 12,000 domestic visitors make visit to the
Jagadishpur area every year. most of the visitors come for nature walk and enjoy local fishes.",,
SN 70,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"Water is mainly used for irrigation, buffalo bathing, and washing clothes. Farmers mostly used water for irrigating summer and winter crops, such as paddy, wheat, maize, and vegetables. The reservoir can irrigate 6070 ha of farmlands in each season.",,
SN 70,Freshwater,Habitat creation and maintenance,HAB,15.5,Positive,"The reservoir is rich in biological resources and has high faunal diversity. A total of 68
species are recorded at the wetland sites, of which four are submerged, 19 are emergent, and 13 are floating plant species, while the rest are terrestrial plants. Likewise, 43 species of fish, 52 species of herpetofauna, 168 species of birds, and 32 mammal species are recorded in the area",,
SN 70,Freshwater,Regulation of climate,CLI,13.2,Positive,The wetland ecosystem stored nearly three times higher carbon than forests ecosystem.The total carbon stock value of the reservoir is NRs 1.0 million per year.,,
SN 70,Freshwater,Maintenance of options,OPT,15.1,Positive,All the households are willing to contribute free labor for protection of the reservoir as well as contribute in cash.,,
SN 71,Farmland,Food and feed,FOD,1.1,Positive,"The purpose of the beekeeping was found mainly for the honey production. Almost 100 % farmers aimed to produce honey, and least farmers around 20 % of them produce other product than honey",Reason for 1.1 is that honey is primarly sold in the market than eaten by the farmers themselves,
SN 71,Farmland,Pollination and dispersal of seeds and other propagules,POL,2.4,Positive,Our results indicate that the presence of beehives into mustard crops throughout blooming rises its yields evaluated as quintals per hectare,,
SN 72,Farmland,Regulation of detrimental organisms and biological processes,ORG,2.1,Positive,The most pronounced patterns was that stomachs of 4 of the 6 frog species included in this analysis contained a significantly greater number of pest than non-pest prey items during the dry season. ,,
SN 72,Farmland,Regulation of detrimental organisms and biological processes,ORG,3.3,Positive,"In addition, we found that adult frogs consumed insects that are potentially harmful to human health, such as mosquitoes, houseflies and sandflies. In Nepal and most other tropical and subtropical countries, vector-borne diseases are major causes of illness and death (Dhimal et al., 2015). Natural vector control by a biological controller may therefore be important","This is an important point, that nature helps in protection of vector borne and communicable diseases, especially during COVID-19 times",
SN 73,Farmland,Habitat creation and maintenance,HAB,15.5,Positive,"The numbers of carabids, rove beetles, seven-spot ladybirds, syrphids, wolf spiders, ants, honeybees and ichneumonids were significantly higher in flowering alyssum plots than in the control plots (Table 1). ",,
SN 73,Farmland,Regulation of detrimental organisms and biological processes,ORG,2.1,Positive,"Overall, the populations of beneficial predators were significantly higher in flowering alyssum plots than in the control plots except for wasps and jumping spiders","This also shows a positive feedback loop. Increase in radish in agricultural led to increase in habitat for beneficial predetors, which protected the croplands from destroying crops. This advocates for crop diversity in farmlands",
SN 74,Freshwater,"Regulation of freshwater quantity, location and timing",WQN,2.4,Positive,"Households seem to place a rather high valuation on the Danda River for agricultural and recreational activities. households were willing to pay NPR. 1548/year ($15.02) for an additional month of irrigated water in the Koshi River Basin, NepaL",,
